"gene1","gene2","FisherExactTest.p_value"
"SPTA1","TYRO3",0.0329670329670329
"STAG1","TYRO3",0.0329670329670329
"SYT10","TYRO3",0.0329670329670329
"TAS2R20","TYRO3",0.0329670329670329
"TP63","TYRO3",0.0329670329670329
"TRRAP","TYRO3",0.0329670329670329
"TYRO3","ABCA13",0.0329670329670329
"TYRO3","ABCF1",0.0329670329670329
"TYRO3","ACACB",0.0329670329670329
"TYRO3","ADAM21",0.0329670329670329
"TYRO3","APOB",0.0329670329670329
"TYRO3","BAZ2A",0.0329670329670329
"TYRO3","BRD7",0.0329670329670329
"TYRO3","C10orf118",0.0329670329670329
"TYRO3","CAD",0.0329670329670329
"TYRO3","CCDC8",0.0329670329670329
"TYRO3","DLGAP4",0.0329670329670329
"TYRO3","EP400",0.0329670329670329
"TYRO3","EPHA1",0.0329670329670329
"TYRO3","EPS15",0.0329670329670329
"TYRO3","FANCA",0.0329670329670329
"TYRO3","FEM1B",0.0329670329670329
"TYRO3","FGFR3",0.0329670329670329
"TYRO3","FLT4",0.0329670329670329
"TYRO3","FNBP4",0.0329670329670329
"TYRO3","FNDC3B",0.0329670329670329
"TYRO3","FREM2",0.0329670329670329
"TYRO3","GABRE",0.0329670329670329
"TYRO3","GAPVD1",0.0329670329670329
"TYRO3","GNL2",0.0329670329670329
"TYRO3","GYS2",0.0329670329670329
"TYRO3","IRS1",0.0329670329670329
"TYRO3","ITGB6",0.0329670329670329
"TYRO3","LAMB4",0.0329670329670329
"TYRO3","LRP1B",0.0329670329670329
"TYRO3","LRPPRC",0.0329670329670329
"TYRO3","MADD",0.0329670329670329
"TYRO3","MED13",0.0329670329670329
"TYRO3","MON2",0.0329670329670329
"TYRO3","NBEA",0.0329670329670329
"TYRO3","NUP153",0.0329670329670329
"TYRO3","NUP205",0.0329670329670329
"TYRO3","PASK",0.0329670329670329
"TYRO3","PCNT",0.0329670329670329
"TYRO3","PDE3A",0.0329670329670329
"TYRO3","PHF1",0.0329670329670329
"TYRO3","PHLPP2",0.0329670329670329
"TYRO3","PIK3R1",0.0329670329670329
"TYRO3","PRKD1",0.0329670329670329
"TYRO3","PRRC2A",0.0329670329670329
"TYRO3","PTGS1",0.0329670329670329
"TYRO3","RGL1",0.0329670329670329
"TYRO3","RPGRIP1",0.0329670329670329
"TYRO3","RREB1",0.0329670329670329
"TYRO3","SETBP1",0.0329670329670329
"TYRO3","SETD2",0.0329670329670329
"TYRO3","SMEK2",0.0329670329670329
"TYRO3","SMG7",0.0329670329670329
"TYRO3","SPTA1",0.0329670329670329
"TYRO3","STAG1",0.0329670329670329
"TYRO3","SYT10",0.0329670329670329
"TYRO3","TAS2R20",0.0329670329670329
"TYRO3","TP63",0.0329670329670329
"TYRO3","TRRAP",0.0329670329670329
"TYRO3","USP54",0.0329670329670329
"TYRO3","ZBTB33",0.0329670329670329
"TYRO3","ZMYND8",0.0329670329670329
"TYRO3","ZNF180",0.0329670329670329
"TYRO3","ZNF236",0.0329670329670329
"TYRO3","ZNF267",0.0329670329670329
"TYRO3","ZNF546",0.0329670329670329
"USP54","TYRO3",0.0329670329670329
